,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,1.4660402536392212,0.3627370297908783,1.0537493228912354,0.4728171229362488
1,1.255389928817749,0.4233305752277374,1.0125656127929688,0.4744645655155182
2,1.1346255540847778,0.46990931034088135,0.9948899149894714,0.4810543656349182
3,1.045644998550415,0.5082440376281738,1.0225164890289307,0.4629324674606323
4,0.9880068302154541,0.5416322946548462,1.0325164794921875,0.4629324674606323
5,0.9739681482315063,0.5445176959037781,1.0072946548461914,0.4810543656349182
6,0.9031336307525635,0.5725473761558533,0.9799253940582275,0.5140032768249512
7,0.9125257134437561,0.5766693949699402,0.9571724534034729,0.5271828770637512
8,0.8692747950553894,0.5898598432540894,0.9687039256095886,0.5420098900794983
9,0.831239640712738,0.6220115423202515,0.963890016078949,0.5568369030952454
10,0.8225247859954834,0.6248969435691833,0.9521909952163696,0.5700165033340454
11,0.8091916441917419,0.6376751661300659,0.9423914551734924,0.5815485715866089
12,0.7791752815246582,0.6409727931022644,0.9249937534332275,0.5831960439682007
13,0.7700948119163513,0.6632316708564758,0.9002583026885986,0.6013179421424866
14,0.739678680896759,0.6615828275680542,0.8580023646354675,0.6326194405555725
15,0.7430744767189026,0.6615828275680542,0.8302135467529297,0.642504096031189
16,0.7059428095817566,0.690024733543396,0.8230526447296143,0.642504096031189
17,0.6775118708610535,0.710222601890564,0.8231189846992493,0.6523888111114502
18,0.6606020331382751,0.7135201692581177,0.8286193609237671,0.6523888111114502
19,0.628563404083252,0.7246496081352234,0.8314579725265503,0.6441515684127808
20,0.6053419709205627,0.7473207116127014,0.8285620808601379,0.6639209389686584
21,0.5620377063751221,0.7609233260154724,0.8329467177391052,0.6523888111114502
22,0.5268344283103943,0.7807089686393738,0.8492765426635742,0.642504096031189
23,0.495007187128067,0.7988458275794983,0.8725603222846985,0.6375617980957031
24,0.460419625043869,0.8046166300773621,0.8951883316040039,0.6408566832542419
